Transformed_Feature,Mean_Abs_SHAP
cat__Τύπος_GLC 220,0.0
cat__Τύπος_GLB 35 AMG,0.0
cat__Τύπος_GLB 250,0.0
cat__Τύπος_GLB 220,0.0
cat__Τύπος_GLB 200,0.0
cat__Τύπος_GLB 180,0.0
cat__Τύπος_GLA 35 AMG,0.0
cat__Τύπος_Aceman,0.0
cat__Τύπος_ATTO 3,0.0
cat__Τύπος_ATTO 2,0.0
cat__Τύπος_AMI,0.0
cat__Τύπος_Grandland (X),0.0
cat__Τύπος_Grand Tourneo,0.0
cat__Τύπος_Grand Scenic,0.0
cat__Τύπος_Grand Cherokee,0.0
cat__Τύπος_Giulia,0.0
cat__Τύπος_Ghibli,0.0
cat__Τύπος_Galaxy,0.0
cat__Τύπος_GT-R,0.0
cat__Τύπος_GLS 63,0.0
cat__Τύπος_GLS 400,0.0
cat__Τύπος_GLE 53 AMG,0.0
cat__Τύπος_GLE 400,0.0
cat__Τύπος_GLC 43 AMG,0.0
cat__Τύπος_Ibiza,0.0
cat__Τύπος_IONIQ 6,0.0
cat__Τύπος_IONIQ,0.0
cat__Τύπος_INSTER,0.0
cat__Τύπος_ID.Buzz,0.0
cat__Τύπος_ID.5,0.0
cat__Τύπος_ID.4,0.0
cat__Τύπος_ID.3,0.0
cat__Τύπος_Hilux,0.0
cat__Τύπος_High Speed,0.0
cat__Τύπος_HS,0.0
cat__Τύπος_HR-V,0.0
cat__Τύπος_Grecale,0.0
cat__Τύπος_Grandland X,0.0
cat__Τύπος_Karoq,0.0
cat__Τύπος_Kangoo,0.0
cat__Τύπος_Kamiq,0.0
cat__Τύπος_Kadjar,0.0
cat__Τύπος_KONA Elektro,0.0
cat__Τύπος_Junior,0.0
cat__Τύπος_Jumpy,0.0
cat__Τύπος_Juke,0.0
cat__Τύπος_John Cooper Works,0.0
cat__Τύπος_Jogger,0.0
cat__Τύπος_Jazz,0.0
cat__Τύπος_Ioniq 5,0.0
cat__Τύπος_Insignia,0.0
cat__Τύπος_Ignis,0.0
cat__Τύπος_M340d,0.0
cat__Τύπος_M235,0.0
cat__Τύπος_M135,0.0
cat__Τύπος_Lodgy,0.0
cat__Τύπος_Leon,0.0
cat__Τύπος_Leaf,0.0
